runId,label,operation,requestId,phase,t,status,errorCode,classification,reasonClient,reasonApi,stageApi,apiPresent,providerDispatched,e2eMs
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21551,measured,187.892,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21552,measured,187.92,0,1050,technical_error,,,,False,,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21554,measured,187.977,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21564,measured,188.12,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21565,measured,188.149,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21566,measured,188.177,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21567,measured,188.206,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21568,measured,188.235,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9247,measured,188.258,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9264,measured,188.825,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9265,measured,188.858,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21612,measured,188.877,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21613,measured,188.906,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21614,measured,188.934,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9268,measured,188.959,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21615,measured,188.963,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9269,measured,188.991,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21616,measured,188.991,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21617,measured,189.006,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21620,measured,189.049,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21622,measured,189.092,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21623,measured,189.12,0,1050,technical_error,,,,False,,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21624,measured,189.149,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21625,measured,189.177,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21626,measured,189.206,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9275,measured,189.225,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21627,measured,189.234,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21628,measured,189.263,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9276,measured,189.292,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21629,measured,189.292,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21630,measured,189.306,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21631,measured,189.32,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21632,measured,189.334,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21633,measured,189.349,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9278,measured,189.358,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21634,measured,189.363,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21635,measured,189.377,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9279,measured,189.392,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21637,measured,189.406,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9280,measured,189.425,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21639,measured,189.435,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21640,measured,189.449,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9281,measured,189.458,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21641,measured,189.463,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21642,measured,189.477,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9282,measured,189.492,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21643,measured,189.506,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21644,measured,189.534,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9283,measured,189.558,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21645,measured,189.563,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21646,measured,189.592,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21647,measured,189.62,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9284,measured,189.625,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21648,measured,189.635,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21649,measured,189.649,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9285,measured,189.658,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21658,measured,189.777,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21664,measured,189.863,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21667,measured,189.906,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21671,measured,189.977,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21673,measured,190.006,0,1050,technical_error,,provider_error,completed,True,True,2000
