runId,label,operation,t,emitted,incomplete,p95,dispatch,normal,openOrHalf
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,70,700,0,154.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,80,700,0,154.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,90,700,0,152.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,100,700,0,149.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,110,700,0,152.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,120,700,0,159.04999999999995,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,130,700,0,153.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,140,700,0,151.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,150,700,0,155.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,160,700,0,151.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,170,700,0,151.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,180,700,0,153.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,190,700,0,151.04999999999995,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,200,700,0,154.04999999999995,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,210,700,0,153.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,220,700,0,153.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,230,700,0,153.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,240,700,0,152.04999999999995,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,250,700,0,154.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,260,700,0,150.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,270,700,0,153.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,280,700,0,154.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,290,700,0,154.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,0,300,0,155.05,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,10,300,0,156.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,20,300,0,152.05,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,30,300,0,154.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,40,300,0,153.05,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,50,300,0,159.10000000000002,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,60,300,0,154.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,70,300,0,157.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,80,300,0,153.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,90,300,0,151.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,100,300,0,153.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,110,300,0,153.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,120,300,0,153.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,130,300,0,151.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,140,300,0,154.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,150,300,0,153.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,160,300,0,152.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,170,300,0,151.10000000000002,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,180,300,0,152.05,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,190,300,0,152.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,200,300,0,154.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,210,300,0,155.05,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,220,300,0,156.05,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,230,300,0,154.05,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,240,300,0,155.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,250,300,0,157.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,260,300,0,152.05,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,270,300,0,154.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,280,300,0,156.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,profile,290,300,0,155.0,300,300,0
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,0,701,0,170.0,30,0,701
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,10,700,0,165.0999999999999,22,0,690
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,20,700,0,171.04999999999995,2,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,30,700,0,168.0,27,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,40,700,0,167.0,16,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,50,700,0,162.0,2,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,60,700,0,163.0999999999999,16,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,70,700,0,170.14999999999986,26,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,80,700,0,173.0,3,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,90,700,0,161.0,13,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,100,700,0,172.04999999999995,29,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,110,700,0,159.0,3,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,120,700,0,160.0,11,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,130,700,0,178.0,41,0,689
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,140,700,0,163.0,12,0,691
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,150,700,0,161.04999999999995,11,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,160,700,0,171.04999999999995,29,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,170,700,0,157.0,6,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,180,700,0,163.0,10,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,190,700,0,170.04999999999995,30,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,200,700,0,164.04999999999995,6,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,210,700,0,165.0,10,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,220,700,0,175.0999999999999,30,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,230,700,0,161.04999999999995,6,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,240,700,0,159.0,8,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,250,700,0,173.0,32,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,260,700,0,160.0,5,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,270,700,0,162.0,9,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,280,700,0,172.04999999999995,32,0,700
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,quote,290,700,1,165.0,5,0,700
