runId,label,caseId,fixture,repetition,operation,emitted,complete,p50,p95,p99,wilsonLower,fallbackRatio,providerAttempts,serverResponses,reconciled,loadComplete,latencyPass,completenessPass,maxMs,incomplete,extraIncomplete,originalStatus,derivedStatus
E07-s7-initial-9f441662-e360-44ee-9faf-14a80afac612,E07 ausente r3,E07,absent,3,quote,21000,21000,136,156,183,0.9998171001251503,1,474,21000,True,True,True,True,419,0,0,INCONCLUSO,INCONCLUSO
E07-s7-initial-9f441662-e360-44ee-9faf-14a80afac612,E07 ausente r3,E07,absent,3,profile,9000,9000,137,165,190,0.9995733376739991,1,288,9000,True,True,True,True,448,0,0,INCONCLUSO,INCONCLUSO
E05-s7-initial-c12008c7-a879-49da-a571-53d3ab6db05c,E05 r2,E05,valid,2,quote,21000,21000,179,238,556,0.9998171001251503,1,932,21000,True,True,False,True,1348,0,0,AJUSTAR,AJUSTAR
E05-s7-initial-c12008c7-a879-49da-a571-53d3ab6db05c,E05 r2,E05,valid,2,profile,9000,9000,178,232,531.0200000000004,0.9995733376739991,1,498,9000,True,True,True,True,892,0,0,AJUSTAR,AJUSTAR
E09-s7-initial-3d00ce45-ef7c-4201-89ec-7722508474a9,E09 r2,E09,valid,2,quote,20946,20860,258,369,926.0999999999985,0.9949326033748657,0.9962283968299437,20867,20935,False,True,False,False,2004,86,7,INCONCLUSO,INCONCLUSO
E09-s7-initial-3d00ce45-ef7c-4201-89ec-7722508474a9,E09 r2,E09,valid,2,profile,8985,8956,258,371.7999999999993,915.6399999999958,0.9953684462489163,0.9969949916527546,8958,8985,True,True,False,False,2001,29,2,INCONCLUSO,INCONCLUSO
E05-s7-initial-239f7732-5212-4d43-971d-fd2ba47a7709,E05 r3,E05,valid,3,quote,21000,21000,178,218,248.0099999999984,0.9998171001251503,1,1244,21000,True,True,True,True,730,0,0,INCONCLUSO,INCONCLUSO
E05-s7-initial-239f7732-5212-4d43-971d-fd2ba47a7709,E05 r3,E05,valid,3,profile,9000,8999,177,221,278,0.9993708238698057,0.9998888888888889,631,9000,True,True,True,True,780,1,0,INCONCLUSO,INCONCLUSO
E09-s7-initial-d3741a37-33c6-4315-b958-62057e5c5dc9,E09 r3,E09,valid,3,quote,21000,20822,202,235,716.049999999992,0.9901908348488718,0.9914761904761905,20872,21000,True,True,False,False,790,178,0,INCONCLUSO,INCONCLUSO
E09-s7-initial-d3741a37-33c6-4315-b958-62057e5c5dc9,E09 r3,E09,valid,3,profile,9000,8931,202,237,673.0700000000015,0.9903094031291463,0.9923333333333333,8947,9000,True,True,True,False,793,69,0,INCONCLUSO,INCONCLUSO
